 file_name                                               solver_name  setup_time (usecs)  solve_time (usecs)  status 
 almost_symmetric_network_14_orgs_delete_prob_factor_1   VariSat      6697                39355               UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_1   Splr         15710               122201              UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_1   BatSat       5072                12554               UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_10  ScrewSat     1504                290                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_10  VariSat      437                 103                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_10  Splr         1103                69                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_10  BatSat       362                 67                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_11  ScrewSat     1010                252                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_11  VariSat      437                 122                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_11  Splr         1086                69                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_11  BatSat       384                 63                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_12  ScrewSat     2348                289                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_12  VariSat      520                 94                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_12  Splr         2657                88                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_12  BatSat       435                 78                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_13  ScrewSat     1056                210                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_13  VariSat      327                 164                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_13  Splr         586                 58                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_13  BatSat       293                 60                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_2   ScrewSat     19671               6342                UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_2   VariSat      6131                1905                UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_2   Splr         12791               252751              UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_2   BatSat       4743                900                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_3   ScrewSat     5632                450                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_3   VariSat      1959                632                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_3   Splr         4375                2561                UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_3   BatSat       1422                204                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_4   ScrewSat     5765                591                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_4   VariSat      1623                393                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_4   Splr         3142                863                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_4   BatSat       1210                261                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_5   ScrewSat     1586                244                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_5   VariSat      332                 78                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_5   Splr         577                 77                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_5   BatSat       311                 60                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_6   ScrewSat     1653                314                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_6   VariSat      425                 133                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_6   Splr         896                 90                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_6   BatSat       397                 64                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_7   ScrewSat     1406                284                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_7   VariSat      317                 98                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_7   Splr         563                 76                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_7   BatSat       288                 82                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_8   ScrewSat     1310                237                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_8   VariSat      321                 102                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_8   Splr         569                 72                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_8   BatSat       305                 63                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_9   ScrewSat     1220                159                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_9   VariSat      356                 173                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_9   Splr         635                 82                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_9   BatSat       336                 63                  UNSAT 
 almost_symmetric_network_16_orgs_                       ScrewSat     87920               191902              UNSAT 
